Island,LIBRARY,REFERENCE,BOOK,CD,DVD,VIDEO,PHONOTAPE,PHONODISC,MICROFORM,CD-ROM,SOFTWARE,AV (MISC),LANGUAGE LEARNING,UNCATALOGED,TOTAL
Oahu,Aiea,1381,68590,3408,4145,71,679,0,0,0,0,1,55,18,78348
Oahu,Aina Haina,1322,59650,2843,1967,24,532,0,0,2,0,8,48,39,66435
Oahu,Ewa Beach,2987,74316,1153,1399,5,470,0,0,3,0,5,22,14,80374
Oahu,Hawaii Kai,3464,70517,1715,1989,198,1007,0,0,6,0,1,15,13,78925
Oahu,Hawaii State,121403,426129,11325,6056,1674,3151,338,290,223,0,0,648,18,571255
Oahu,Kahuku,2950,43377,1102,1135,272,671,0,0,1,0,0,12,2,49522
Oahu,Kailua,3860,77374,3104,1874,71,1139,0,0,5,0,1,102,10,87540
Oahu,Kaimuki,11963,92208,3788,3739,247,1575,481,0,60,1,8,23,35,114128
Oahu,Kalihi-Palama,2912,55194,3019,3170,34,104,0,0,8,0,1,49,9,64500
Oahu,Kaneohe,6906,109880,2814,2264,2,454,0,313,0,0,6,38,69,122746
Oahu,Kapolei,5201,115605,6064,6326,38,248,0,0,1,0,0,217,10,133710
Oahu,LBPH,248,12993,2,26,180,25,0,0,0,0,0,12,5,13491
Oahu,Liliha,1947,82201,2225,2633,211,967,0,0,15,0,0,189,20,90408
Oahu,Manoa,236,25371,1077,3691,74,569,0,0,0,0,0,11,14,31043
Oahu,McCully,1410,97737,3127,4486,192,998,0,0,6,0,10,205,18,108189
Oahu,Mililani,1691,81717,3291,2941,35,567,0,0,1,0,0,31,12,90286
Oahu,Pearl City,14886,150655,2975,3622,181,1026,36,0,79,0,9,139,6,173614
Oahu,Salt Lake,2017,67724,2432,3723,161,222,0,0,16,0,1,70,182,76548
Oahu,Wahiawa,1634,49222,1537,1542,61,916,3,0,12,0,1,5,11,54944
Oahu,Waialua,788,37536,1693,2064,95,534,0,0,0,0,0,6,10,42726
Oahu,Waianae,2731,55656,1382,2039,132,802,0,0,0,0,0,0,2,62744
Oahu,Waikiki,1405,36123,2117,2555,27,185,0,0,1,0,0,55,20,42488
Oahu,Waimanalo,1491,41092,1018,1557,67,547,0,0,0,0,0,3,7,45782
Oahu,Waipahu,2410,63050,1510,2710,228,800,0,0,1,0,0,14,8,70731
Hawaii,Hilo,30317,200199,6268,7127,1309,1407,60,1,61,0,25,210,200,247184
Hawaii,Holualoa,12,433,8,12,10,5,0,0,0,0,0,0,4,484
Hawaii,Honokaa,1242,18614,960,1599,24,49,0,0,8,0,4,0,57,22557
Hawaii,Kailua-Kona,2740,51926,2923,3083,98,373,1,0,1,0,13,14,14,61186
Hawaii,Keaau,1024,29116,1860,1769,48,38,0,0,10,0,0,15,30,33910
Hawaii,Kealakekua,456,17529,1018,1322,4,225,2,0,15,0,0,26,9,20606
Hawaii,Laupahoehoe,620,22356,1508,2224,23,75,0,0,2,0,1,0,19,26828
Hawaii,Mountain View,436,21999,1486,1994,30,100,0,0,1,0,2,4,12,26064
Hawaii,Naalehu,261,8574,600,1069,12,26,0,0,1,0,1,5,18,10567
Hawaii,North Kohala,637,16491,1199,1947,8,37,0,0,1,0,0,5,10,20335
Hawaii,Pahala,625,6227,692,916,1,12,0,0,4,0,0,4,30,8511
Hawaii,Pahoa,838,29997,1927,2137,121,115,0,0,0,0,0,0,5,35140
Hawaii,Thelma Parker,1322,42111,3516,2622,421,325,2,0,15,0,1,23,18,50376
Kauai,Hanapepe,1964,27285,975,1884,68,170,1,0,3,0,1,16,35,32402
Kauai,Kapaa,3058,33669,1607,3192,184,584,3,0,0,0,0,14,12,42323
Kauai,Koloa,1485,29767,299,3644,39,2,0,0,0,0,0,28,42,35306
Kauai,Lihue,8515,72715,2965,3484,133,1139,16,0,15,0,5,40,31,89058
Kauai,Princeville,2765,51469,218,2516,496,245,0,0,0,0,1,0,9,57719
Kauai,Waimea,4033,24374,466,1326,134,271,5,0,27,0,0,4,15,30655
Maui,Hana,1515,29406,1073,1345,172,363,5,0,1,0,18,3,12,33913
Maui,Kahului,16881,85843,2566,3077,476,827,1,1,42,0,0,80,14,109808
Maui,Kihei,2531,63928,2708,3116,53,784,0,0,1,0,8,89,17,73235
Maui,Lahaina,2145,27860,1568,1689,512,635,1,0,1,0,31,13,11,34466
Maui,Lanai,1778,29970,1114,3967,61,248,4,0,2,0,23,53,11,37231
Maui,Makawao,2348,38584,1930,2220,48,781,6,0,0,0,2,12,16,45947
Maui,Molokai,1446,20179,1805,2283,40,162,0,0,7,0,8,13,6,25949
Maui,Wailuku,2372,65525,2417,2580,176,816,32,0,6,0,12,71,23,74030
